City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,stornoway,58.2093,-6.3865,14.98,86,100,8.23,GB,2024-09-16
80,hassi messaoud,31.6804,6.0729,30.92,30,0,2.06,DZ,2024-09-16
81,remire-montjoly,4.9167,-52.2667,31.02,66,75,6.69,GF,2024-09-16
82,tuzantla,19.2029,-100.5668,30.07,61,32,1.84,MX,2024-09-16
83,karkira,36.9292,6.5856,19.21,77,51,3.18,DZ,2024-09-16
84,whitehorse,60.7161,-135.0538,10.61,71,75,2.06,CA,2024-09-16
85,queenstown,-31.8976,26.8753,11.53,80,96,3.77,ZA,2024-09-16
86,nova sintra,14.8667,-24.7167,26.66,73,11,5.36,CV,2024-09-16
87,pointe aux piments,-20.0628,57.5131,21.96,77,35,8.04,MU,2024-09-16
88,jamestown,42.097,-79.2353,26.68,37,0,3.6,US,2024-09-16
89,st. john's,47.5649,-52.7093,20.54,64,75,10.8,CA,2024-09-16
90,cozumel,20.5083,-86.9458,32.04,70,75,3.6,MX,2024-09-16
91,san lawrenz,36.0553,14.204,21.59,70,1,6.98,MT,2024-09-16
92,boguchany,58.3814,97.4531,-1.0,91,100,1.29,RU,2024-09-16
93,invercargill,-46.4,168.35,5.01,70,100,5.81,NZ,2024-09-16
94,port alfred,-33.5906,26.891,15.1,87,52,1.25,ZA,2024-09-16
95,udachny,66.4167,112.4,3.22,96,100,8.85,RU,2024-09-16
96,tolanaro,-25.0319,46.9987,21.04,83,0,2.06,MG,2024-09-16
97,angaur state,6.906,134.13,28.72,80,100,10.41,PW,2024-09-16
98,huicheng,23.0385,116.2899,27.06,86,100,2.61,CN,2024-09-16
99,coroata,-4.13,-44.1242,37.79,25,45,1.35,BR,2024-09-16
100,nemuro,43.3236,145.575,16.13,82,100,7.65,JP,2024-09-16
101,stanley,54.868,-1.6985,10.01,88,0,1.03,GB,2024-09-16
102,azhikkal,11.9,75.3667,24.51,89,5,2.76,IN,2024-09-16
103,hobyo,5.3505,48.5268,25.14,89,98,10.86,SO,2024-09-16
104,dongola,19.1667,30.4833,34.72,16,5,3.91,SD,2024-09-16
105,idrinskoye,54.3708,92.1358,0.0,93,64,1.6,RU,2024-09-16
106,iqaluit,63.7506,-68.5145,3.85,80,100,8.75,CA,2024-09-16
107,mount pearl,47.5166,-52.7813,20.08,67,75,10.8,CA,2024-09-16
108,lihue,21.9789,-159.3672,27.77,76,100,8.23,US,2024-09-16
109,akureyri,65.6835,-18.0878,8.96,61,40,4.63,IS,2024-09-16
110,casale sul sile,45.5931,12.3256,16.79,75,40,3.09,IT,2024-09-16
111,yaren,-0.5472,166.916,28.22,67,100,2.22,NR,2024-09-16
112,touros,-5.1989,-35.4608,25.47,73,2,7.95,BR,2024-09-16
113,imbituba,-28.24,-48.6703,16.75,81,72,3.2,BR,2024-09-16
114,dakhla,23.6848,-15.958,21.01,88,3,8.23,EH,2024-09-16
115,qarauyl,48.9451,79.255,3.07,63,0,6.46,KZ,2024-09-16
116,dudinka,69.4058,86.1778,2.87,92,19,2.87,RU,2024-09-16
117,leduc,53.2668,-113.552,21.49,39,40,2.06,CA,2024-09-16
118,malpe,13.35,74.7167,24.47,88,9,1.97,IN,2024-09-16
119,tamanrasset,22.785,5.5228,25.95,53,40,2.06,DZ,2024-09-16
120,namdrik,5.5994,168.1028,28.69,70,57,2.6,MH,2024-09-16
121,kayyerkan,69.3786,87.7439,2.59,93,30,1.95,RU,2024-09-16
122,hadibu,12.65,54.0333,25.64,77,8,6.32,YE,2024-09-16
123,tura,25.5198,90.2201,23.87,89,100,1.25,IN,2024-09-16
124,kuhmo,64.1333,29.5167,8.08,73,72,2.09,FI,2024-09-16
125,shimanovsk,52.0,127.7,8.59,85,0,3.34,RU,2024-09-16
126,gopalpur,19.2667,84.9167,27.86,77,97,1.48,IN,2024-09-16
127,sao gabriel,-30.3364,-54.32,20.78,60,0,2.94,BR,2024-09-16
128,axim,4.8699,-2.2405,24.04,88,43,3.4,GH,2024-09-16
129,hamilton,39.1834,-84.5333,32.01,33,0,4.12,US,2024-09-16
130,lompoc,34.6391,-120.4579,23.72,60,100,6.69,US,2024-09-16
131,umm kaddadah,13.6017,26.6876,29.42,51,94,7.98,SD,2024-09-16
132,east london,-33.0153,27.9116,17.71,73,100,1.82,ZA,2024-09-16
133,sinop,41.7711,34.8709,14.12,95,18,1.2,TR,2024-09-16
134,anadyr,64.75,177.4833,8.28,87,75,3.0,RU,2024-09-16
135,vredendal,-31.6683,18.5012,13.62,71,0,3.85,ZA,2024-09-16
136,peace river,56.2501,-117.286,18.17,48,75,6.69,CA,2024-09-16
137,yanykurgan,43.915,67.2481,21.41,23,100,3.41,KZ,2024-09-16
138,flin flon,54.7682,-101.865,19.91,60,40,4.12,CA,2024-09-16
139,constantia,44.1833,28.65,14.38,61,8,4.98,RO,2024-09-16
140,la sarre,48.8002,-79.1996,27.77,51,7,5.12,CA,2024-09-16
141,fale old settlement,-9.3852,-171.2468,26.96,81,60,3.65,TK,2024-09-16
142,el granada,37.5027,-122.4694,20.47,72,75,3.09,US,2024-09-16
143,valledupar,10.4631,-73.2532,37.83,41,20,3.09,CO,2024-09-16
144,tofol,5.3248,163.0078,28.89,71,79,4.8,FM,2024-09-16
145,fort st. john,56.2499,-120.8529,16.94,48,75,7.2,CA,2024-09-16
146,sinabang,2.4803,96.3801,25.13,90,100,3.41,ID,2024-09-16
147,happy valley-goose bay,53.3168,-60.3315,21.17,68,75,5.14,CA,2024-09-16
148,edinburgh of the seven seas,-37.0676,-12.3116,10.81,70,45,16.82,SH,2024-09-16
149,liwale,-9.7667,37.9333,21.53,72,3,2.78,TZ,2024-09-16
150,san luis de la loma,17.2706,-100.8939,30.89,70,41,3.55,MX,2024-09-16
151,miquelon,47.0975,-56.3814,15.88,86,47,8.26,PM,2024-09-16
152,mezhdurechenskiy,59.6,65.9333,6.76,66,0,2.37,RU,2024-09-16
153,piti village,13.4626,144.6933,27.03,90,75,3.09,GU,2024-09-16
154,grandview,38.8858,-94.533,31.01,54,40,5.14,US,2024-09-16
155,mogocha,53.7333,119.7667,1.95,83,0,1.49,RU,2024-09-16
156,benjamin hill,30.1667,-111.1,31.13,42,29,8.29,MX,2024-09-16
157,vila velha,-20.3297,-40.2925,25.97,83,0,9.26,BR,2024-09-16
158,olonkinbyen,70.9221,-8.7187,0.65,83,100,5.44,SJ,2024-09-16
159,svetlyy,54.675,20.1347,18.32,56,42,3.56,RU,2024-09-16
160,olinda,-8.0089,-34.8553,25.85,73,40,6.69,BR,2024-09-16
161,holualoa,19.6228,-155.9522,28.64,79,75,4.63,US,2024-09-16
162,akobo,7.4344,3.9497,26.75,83,75,1.54,NG,2024-09-16
163,sur,22.5667,59.5289,29.31,61,0,4.52,OM,2024-09-16
164,belmonte,-15.8631,-38.8828,24.51,76,0,4.71,BR,2024-09-16
165,codrington,-38.2667,141.9667,8.65,80,99,4.01,AU,2024-09-16
166,mbeya,-8.9,33.45,16.11,41,1,2.66,TZ,2024-09-16
